"v2","v1 import","v1 dependency"
"apigateway","apigateway","api-gateway"
"servicecatalogappregistry","appregistry","appregistry"
"applicationdiscovery","applicationdiscovery","discovery"
"sagemakera2iruntime","augmentedairuntime","augmentedairuntime"
"acm","certificatemanager","acm"
"cloudcontrol","cloudcontrolapi","cloudcontrolapi"
"cloudsearch","cloudsearchv2","cloudsearch"
"cloudsearchdomain","cloudsearchdomain","cloudsearch"
"cloudwatchevents","cloudwatchevents","events"
"evidently","cloudwatchevidently","cloudwatchevidently"
"cloudwatchlogs","logs","logs"
"cloudwatch","metrics","cloudwatchmetrics"
"rum","cloudwatchrum","cloudwatchrum"
"cognitoidentityprovider","cognitoidp","cognitoidp"
"connectcampaigns","connectcampaign","connectcampaign"
"wisdom","connectwisdom","connectwisdom"
"databasemigration","databasemigrationservice","dms"
"datazone","datazone","datazoneexternal"
"dynamodb","dynamodbv2","dynamodb"
"efs","elasticfilesystem","efs"
"emr","elasticmapreduce","emr"
"databrew","gluedatabrew","gluedatabrew"
"rolesanywhere","iamrolesanywhere","iamrolesanywhere"
"iam","identitymanagement","iam"
"iotdataplane","iotdata","iot"
"kinesisanalytics","kinesisanalytics","kinesis"
"firehose","kinesisfirehose","kinesis"
"kinesisvideosignaling","kinesisvideosignalingchannels","kinesisvideosignalingchannels"
"lexruntime","lexruntime","lex"
"lookoutvision","lookoutforvision","lookoutforvision"
"m2","mainframemodernization","mainframemodernization"
"marketplacemetering","marketplacemetering","marketplacemeteringservice"
"grafana","managedgrafana","managedgrafana"
"mturk","mturk","mechanicalturkrequester"
"migrationhubstrategy","migrationhubstrategyrecommendations","migrationhubstrategyrecommendations"
"nimble","nimblestudio","nimblestudio"
"privatenetworks","private5g","private5g"
"amp","prometheus","prometheus"
"rbin","recyclebin","recyclebin"
"redshiftdata","redshiftdataapi","redshiftdataapi"
"route53domains","route53domains","route53"
"sagemakeredge","sagemakeredgemanager","sagemakeredgemanager"
"sts","securitytoken","sts"
"sms","servermigration","servermigration"
"ses","simpleemail","ses"
"sesv2","simpleemailv2","sesv2"
"ssm","simplesystemsmanagement","ssm"
"swf","simpleworkflow","simpleworkflow"
"sfn","stepfunctions","stepfunctions"
"cloudfrontkeyvaluestore","",""
"codecatalyst","",""
"kinesisvideoarchivedmedia","",""
"kinesisvideomedia","",""
"neptunegraph","",""
"transcribestreaming","",""